id,reservoir_name,volume_hm3,surface_area_km2,full_supply_level_m,dam_height_m,lat,lon,linked_plants,roles,notes,tirol_wis_id
1,Achensee,481.0,6.8,929.0,,47.45,11.71,,storage,TIWAG Achenseewerk; natural lake used as storage,T1643R1
2,Kölnbreinspeicher,200.2,2.5,1902.0,200.0,47.079,13.344,"Malta-Hauptstufe, Malta-Oberstufe, Reißeck II","lower, upper",Malta-Reißeck group; VERBUND volume,
3,Stausee Gepatsch,138.0,2.6,1767.0,153.0,46.931,10.745,,storage,TIWAG Kaunertal; storage (not PS upper/lower pair),T4579R1
4,Schlegeisspeicher,126.5,2.02,1782.0,131.0,47.033,11.704,Roßhag,upper,Zemm-Ziller; VERBUND,T2614R1
5,Speicher Zillergründl,86.7,1.28,1850.0,186.0,47.121,12.067,Häusling,upper,Zemm-Ziller; VERBUND,T2906R1
6,Mooserboden,84.9,1.6,2036.0,107.0,47.168,12.718,"Kaprun Oberstufe Limberg, Limberg II",upper,Kaprun; VERBUND volume,
7,Wasserfallboden,81.2,1.5,1672.0,120.0,47.183,12.722,"Kaprun Oberstufe Limberg, Limberg II",lower,Kaprun,
8,Lünersee,78.3,1.55,1970.0,,47.052,9.753,Lünerseewerk,upper,Natural lake raised,
9,Speicher Finstertal,60.0,1.02,2325.0,150.0,47.213,11.041,"Kühtai, Silz",upper,Sellrain-Silz; TIWAG,T5422R1
10,Speicher Durlaßboden,52.0,1.75,1405.0,,47.28,12.08,,storage,Gerlos group; VERBUND lists 50.7 hm³,T2860R1
11,Kopssee (Kops),42.9,1.0,1809.0,122.0,46.972,10.122,Kopswerk II,upper,illwerke vkw,
12,Silvretta-Stausee,38.0,1.3,2030.0,80.0,46.918,10.092,Obervermuntwerk II,upper,,
13,Vermuntsee,11.0,0.4,1743.0,54.0,46.955,10.065,Obervermuntwerk II,lower,,
14,Speicher Stillupp,6.8,0.55,1120.0,28.0,47.075,11.862,"Häusling, Roßhag",lower,Weekly storage / lower basin,T2719R1
15,Ausgleichsbecken Längental,3.0,0.18,1900.0,,47.21,11.015,Kühtai,lower,,T5433R1
16,Ausgleichsbecken Rottau / Galgenbichl,,,,,46.923,13.355,Malta-Hauptstufe,lower,Lower basin for pumps,
17,Erlaufboden reservoir,,,,,47.87,15.28,Erlaufboden,upper,evn; small PS (**),
18,Feldsee (Fragant),,,,,46.95,13.05,Feldsee,upper,KELAG Fragant group,
19,Fragant / Wurten reservoirs,,,,,46.95,13.05,"Innerfragant I, Innerfragant II",upper,KELAG,
20,Großer Mühldorfer See / Reißeck lakes,,,,,46.925,13.365,Malta-Oberstufe,upper,Reißeck plateau lakes,
21,Koralpe lower basin,,,,,46.74,15.03,Koralpe,lower,,
22,Koralpe upper basin,,,,,46.75,15.02,Koralpe,upper,KELAG,
23,Latschau / Ill cascade,,,,,47.07,9.88,Lünerseewerk,lower,,
24,Latschau / Vermunt cascade,,,,,47.07,9.88,"Rodundwerk I, Rodundwerk II",upper,illwerke Rodund group,
25,Ranna / Klaffer reservoirs,,,,,48.58,13.78,Ranna,upper,Energie AG; earliest AT PS (1925),
26,Ranna lower basin,,,,,48.57,13.79,Ranna,lower,,
27,Reißeck / Großer See group,,,,,46.93,13.37,Reißeck II,upper,Links Reißeck lakes to Kölnbrein,
28,Reißeck Jahresspeicher lakes,,,,,46.93,13.37,Reißeck Jahresspeicher,upper,VERBUND Reißeck,
29,Rifa / Vermunt cascade,,,,,47.01,10.05,Kopswerk II,lower,Via Obervermunt / Rodund system,
30,Rodundbecken,,,,,47.1,9.85,"Rodundwerk I, Rodundwerk II",lower,,
31,Wienerbruck reservoir,,,,,47.85,15.3,Wienerbruck,upper,evn; small PS (**),
32,Wurten / Fragant cascade,,,,,46.94,13.03,Feldsee,lower,,
